"No.","Time","Source","Destination","Protocol","Length","Info"
"143","0.730729","fe80::c30c:0:0:2","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"144","0.734004","fe80::c30c:0:0:2","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"145","0.737291","fe80::c30c:0:0:2","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"146","0.740566","fe80::c30c:0:0:2","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"147","0.743832","fe80::c30c:0:0:2","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"148","0.747128","fe80::c30c:0:0:2","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"149","0.750382","fe80::c30c:0:0:2","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"150","0.753659","fe80::c30c:0:0:2","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"151","0.756954","fe80::c30c:0:0:2","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"152","0.760217","fe80::c30c:0:0:2","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"153","0.763529","fe80::c30c:0:0:2","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"154","0.766812","fe80::c30c:0:0:2","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"155","0.770098","fe80::c30c:0:0:2","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"156","0.773373","fe80::c30c:0:0:2","ff02::1a","ICMPv6","64","RPL Control (DODAG Information Solicitation)"
"157","2.833846","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"158","2.838170","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"159","2.842521","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"160","2.846847","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"161","2.851182","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"162","2.855515","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"163","2.859849","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"164","2.864182","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"165","2.868515","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"166","2.872838","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"167","2.877182","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"168","2.881513","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"169","2.885849","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"170","2.890182","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"171","2.894516","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
